portfolio_model,start_date,end_date,trading_days,start_close,end_close,return_pct,max_drawdown_pct,opening_raw_decision,opening_action,overlaps_order_uncertainty
FAMA_FRENCH,2009-02-24,2009-03-02,5,77.48,70.6,-8.879710893133725,8.879710893133725,bear,APPLY_FAMA_FRENCH,True
GROWTH,2009-03-03,2009-03-05,3,70.07,68.8,-1.812473241044664,4.084762303081008,bull,APPLY_GROWTH,False
FAMA_FRENCH,2009-03-06,2009-04-28,37,68.92,85.57,24.158444573418443,5.197930453615681,bear,APPLY_FAMA_FRENCH,False
GROWTH,2009-04-29,2009-05-06,6,87.39,92.141,5.4365488042110135,0.34110915492958,bull,APPLY_GROWTH,False
FAMA_FRENCH,2009-05-07,2009-05-22,12,90.86,89.02,-2.0250935505172833,4.624650462465043,bear,APPLY_FAMA_FRENCH,False
GROWTH,2009-05-26,2010-05-10,242,91.3,116.16,27.228915662650603,8.662904053360695,bull,APPLY_GROWTH,False
FAMA_FRENCH,2010-05-11,2010-08-05,61,115.83,112.85,-2.572735906069243,12.984248616432525,bear,APPLY_FAMA_FRENCH,True
GROWTH,2010-08-06,2011-08-03,251,112.392,126.17,12.258879635561255,7.520340101150777,bull,APPLY_GROWTH,False
FAMA_FRENCH,2011-08-04,2012-01-06,108,120.26,127.71,6.194911026110085,10.055637375224997,bear,APPLY_FAMA_FRENCH,True
GROWTH,2012-01-09,2014-02-03,520,128.02,174.17,36.049054835181984,9.68697123519459,bull,APPLY_GROWTH,False
FAMA_FRENCH,2014-02-04,2014-02-25,15,175.385,184.84,5.390996949568101,0.66217976552323,bear,APPLY_FAMA_FRENCH,False
GROWTH,2014-02-26,2014-10-21,166,184.85,194.07,4.987827968623208,7.704885541571689,bull,APPLY_GROWTH,False
FAMA_FRENCH,2014-10-22,2014-11-14,18,192.69,204.24,5.994083761482179,0.3469296723992749,bear,APPLY_FAMA_FRENCH,False
GROWTH,2014-11-17,2014-12-17,22,204.37,201.79,-1.262416205901068,4.85096153846154,bull,APPLY_GROWTH,False
