decision_date,last_bar_used,n_bars,n_obs,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,confidence_pass,raw_decision,previous_raw_decision,decision_changed,transition_type,error
2005-07-28,2005-07-27,1399,1389,1,2,1,1.0,0.4775224917070657,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-08-04,2005-08-03,1404,1394,2,0,1,1.0,0.5002784637547509,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-08-05,2005-08-04,1405,1395,0,0,1,0.4883024897804928,0.39762106585457774,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-08-11,2005-08-10,1409,1399,0,1,2,1.0,0.5037744348885174,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-08-12,2005-08-11,1410,1400,2,2,1,1.0,0.49308848994938187,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-08-18,2005-08-17,1414,1404,0,1,2,1.0,0.5076313634988467,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-08-25,2005-08-24,1419,1409,1,2,1,0.9979965956818793,0.3398634498589096,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-09-08,2005-09-07,1428,1418,1,0,2,0.9906514061926303,0.5059792322203309,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-09-09,2005-09-08,1429,1419,1,0,1,0.6097668887882838,0.4556696706062501,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-09-19,2005-09-16,1435,1425,1,0,2,1.0,0.5024620654827244,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-09-20,2005-09-19,1436,1426,0,2,0,1.0,0.45817569660610236,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-09-26,2005-09-23,1440,1430,2,0,1,0.919358765849786,0.5102960870443021,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-09-29,2005-09-28,1443,1433,0,2,0,0.9300047685862666,0.49926764537471846,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-11-15,2005-11-14,1476,1466,1,0,2,1.0,0.5079923440109629,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-11-16,2005-11-15,1477,1467,0,1,2,1.0,0.4900210699400932,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-11-17,2005-11-16,1478,1468,0,1,2,1.0,0.5008537171565239,True,bull,neutral,True,NEUTRAL_TO_BULL,
