date,decision,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,n_bars_window,n_obs,last_volatility,last_return,error
2018-08-08,neutral,2,1,0,0.999999999955031,0.3292664040626852,2718,2708,2.955175999999986,0.33024170882518195,
2018-08-09,neutral,0,2,1,0.9952915795532701,0.3202045768149925,2718,2708,3.5208209999999793,-0.04201974928216421,
2018-08-10,neutral,0,1,2,0.9698157511801504,0.3230629467885591,2718,2708,3.957299999999981,-0.13662159321795922,
2018-08-13,neutral,0,1,2,0.9894975894107599,0.37417312305515715,2718,2708,3.669503999999987,-0.6700108745220361,
2018-08-14,neutral,2,1,0,1.0,0.3395635696387951,2718,2708,2.686308999999975,-0.3743466591326466,
2018-08-15,neutral,2,1,0,0.6752736357386137,0.3616841820242114,2718,2708,2.2070039999999667,0.6380716058135252,
2018-08-16,neutral,0,2,1,0.2848052546274312,0.3848835563782989,2718,2708,1.765035999999986,-0.7467418104966554,
2018-08-17,neutral,2,1,2,0.839393112252799,0.42762741400086274,2718,2708,1.5557849999999835,0.8091418837390977,
2018-08-20,bull,0,1,0,0.7894522674566525,0.5300312574049635,2718,2708,1.649808999999987,0.3520383017672323,
2018-08-21,bull,0,1,0,0.648761097328593,0.5432539586516484,2718,2708,1.860443999999994,0.2139900371851588,
2018-08-22,bull,2,1,2,0.41443193660517913,0.5420047602450235,2718,2708,2.1246199999999886,0.23453635313472154,
2018-08-23,neutral,0,1,2,0.22406849941692042,0.5457576270436008,2718,2708,2.340388999999999,-0.05936997974434556,
2018-08-24,neutral,1,2,1,0.11820482306330077,0.5410909463614654,2718,2708,2.4934610000000057,-0.13278820281650608,
2018-08-27,neutral,0,2,0,0.9999728532517822,0.35733306213415655,2718,2708,3.115076000000007,0.6018405122642395,
2018-08-28,neutral,0,2,0,0.9413557654791954,0.38456413884118146,2718,2708,4.217924,0.7895377552085081,
2018-08-29,neutral,2,1,2,0.7203574407509441,0.32089337541284985,2718,2708,5.425536000000008,0.048312512940866595,
2018-08-30,neutral,2,1,2,0.7473694571437159,0.3500909877058196,2718,2708,5.303315999999997,0.5380794701986763,
2018-08-31,neutral,2,1,0,0.8278490102646343,0.3438456340460826,2718,2708,4.916436000000002,-0.4048305201042976,
2018-09-04,neutral,2,1,0,0.8988179693798419,0.32188186145653436,2718,2708,4.517961,0.0034447123665142625,
2018-09-05,neutral,0,1,2,0.9772406045437969,0.3268621854193178,2718,2708,3.860529000000006,-0.17222968550859427,
2018-09-06,neutral,0,2,1,0.9997945979535139,0.3320180113187938,2718,2708,3.2200399999999925,-0.26914185155792747,
2018-09-07,neutral,0,2,1,0.9125396575783683,0.33423838596325356,2718,2708,2.4461289999999956,-0.30100681590144546,
2018-09-10,neutral,2,1,0,0.13779088254405034,0.3278172589924406,2718,2708,1.5033000000000007,-0.19433647973348217,
2018-09-11,bull,0,1,0,0.931537552573305,0.5430829704972644,2718,2708,1.3127889999999909,0.17385257301808066,
2018-09-12,bull,0,1,0,0.931561426495229,0.5300265745879856,2718,2708,1.3124239999999934,0.32974661575841324,
2018-09-13,bull,0,1,0,0.9394114814050539,0.5448766177545137,2718,2708,1.282983999999993,0.024217263449227876,
2018-09-14,neutral,0,1,0,0.9822025804571206,0.4851883766896625,2718,2708,1.0370889999999808,0.5914499169894782,
2018-09-17,bull,1,2,1,0.9596028249048002,0.5445301443742218,2718,2708,1.1913689999999764,0.01719217412234342,
2018-09-18,neutral,0,1,0,0.977386239701951,0.47255853584085694,2718,2708,1.0779759999999758,-0.5294279427942865,
2018-09-19,neutral,0,1,0,0.9283553414077943,0.49600007392525514,2718,2708,1.3228359999999835,0.542614225478693,
2018-09-20,bull,0,1,0,0.797146569896003,0.5449147606221747,2718,2708,1.6353489999999884,0.10656216699322892,
2018-09-21,neutral,1,2,1,1.0,0.38833726822395465,2718,2708,2.803900999999976,0.810383902204504,
2018-09-24,neutral,1,2,0,0.8523415238370986,0.35845467937351116,2718,2708,2.3758759999999874,-0.5415900265685588,
2018-09-25,neutral,2,1,0,0.26978788864239195,0.33711253707083877,2718,2708,1.7404839999999968,-0.33220315764239433,
2018-09-26,bull,0,1,2,0.8976297866736102,0.541726790347725,2718,2708,1.4076240000000015,-0.09277712871966938,
2018-09-27,bull,2,1,0,0.9601367718122162,0.5166442724871992,2718,2708,1.1793200000000044,-0.2992261392949285,
2018-09-28,bull,0,1,2,0.9599563563146328,0.5363578119921841,2718,2708,1.1869640000000037,0.2794259693666353,
2018-10-01,bull,1,2,0,0.9589927647671158,0.546569305652309,2718,2708,1.193940000000002,0.010320272455202985,
2018-10-02,bull,0,1,2,0.9921820594892999,0.5292264671511226,2718,2708,0.9097689999999933,0.347413318657124,
2018-10-03,bull,1,2,1,0.99259640857884,0.5435778642872316,2718,2708,0.9037239999999944,-0.05827306070682339,
2018-10-04,bull,0,1,2,0.991831747315837,0.5464272428018485,2718,2708,0.9168239999999969,0.054877212237626906,
2018-10-05,neutral,2,1,0,0.9994118970891227,0.3996542075209478,2718,2708,0.6245400000000094,-0.781571369806674,
2018-10-08,neutral,2,1,0,0.9278157045640896,0.4663567819798856,2718,2708,1.3221810000000154,-0.559701492537315,
2018-10-09,bull,0,2,1,0.572744150251244,0.5462537182972174,2718,2708,1.9321010000000247,0.0,
2018-10-10,neutral,0,2,1,0.0646162224497432,0.5384094046842954,2718,2708,2.582336000000039,-0.14592453616844414,
2018-10-11,bear,2,2,1,0.9961533015697174,0.91776722898715,2718,2708,14.646380000000018,-3.166318719554616,
2018-10-12,bear,1,1,2,0.9999998527194526,0.6827863486706338,2718,2708,38.218636000000004,-2.2026590010779716,
2018-10-15,neutral,1,1,2,0.9999999884515822,0.3300160054959851,2718,2708,46.473589000000004,1.388837858691249,
2018-10-16,neutral,1,1,2,0.9999999972699012,0.17438550507125392,2718,2708,51.53221600000003,-0.5616959594129413,
2018-10-17,bear,1,1,2,0.999999982209141,0.6282807116932462,2718,2708,45.10405600000002,2.186588921282799,
2018-10-18,neutral,1,1,2,0.9999996344836933,0.13317305470345236,2718,2708,35.848004999999965,0.017831669044226596,
2018-10-19,neutral,1,1,2,0.9999971870103963,0.40704509977190245,2718,2708,30.222548999999965,-1.4441076840791627,
2018-10-22,neutral,1,1,2,0.9999686704193327,0.13450170301542322,2718,2708,24.43176399999995,-0.054269175108530125,
2018-10-23,neutral,1,1,2,0.9986281206648465,0.16050512113371088,2718,2708,16.48572099999995,-0.4488687782805463,
2018-10-24,neutral,2,2,0,0.5945054429675238,0.1677770319845132,2718,2708,6.7734239999999675,-0.5090723973673602,
2018-10-25,bear,1,1,2,0.9987883657009066,0.8995267862333136,2718,2708,16.729083999999958,-3.029860019736128,
2018-10-26,neutral,1,1,2,0.9993006322403899,0.4766194038204099,2718,2708,18.303480999999977,1.7940600030152236,
2018-10-29,bear,1,1,2,0.9999847923490461,0.5269812488561642,2718,2708,25.98386499999998,-1.758738151658768,
2018-10-30,neutral,1,1,2,0.9999993860093298,0.17370130546571433,2718,2708,34.559208999999946,-0.5540270606414542,
2018-10-31,neutral,1,1,2,0.999995835375597,0.3610193482051457,2718,2708,29.39227599999998,1.4818464337148367,
2018-11-01,neutral,1,1,2,0.9997942155079024,0.23856824409314367,2718,2708,20.31270399999999,1.0680808156253554,
2018-11-02,neutral,1,1,2,0.9992514798125689,0.23821942619698416,2718,2708,17.611421000000007,1.0641835716661108,
2018-11-05,neutral,1,1,2,0.9947015400200997,0.17989408547268004,2718,2708,13.991748999999995,-0.5923000987166848,
2018-11-06,neutral,1,1,2,0.9879128980219339,0.15530107159440837,2718,2708,12.507828999999992,0.55169369965795,
2018-11-07,neutral,2,2,0,0.9944987048463173,0.163296157594718,2718,2708,13.942479999999989,0.6327956399283142,
2018-11-08,bear,1,1,2,0.9999270755234858,0.6154210911993,2718,2708,22.38526899999999,2.1408839779005473,
2018-11-09,neutral,1,1,2,0.999996192246569,0.1408118257555968,2718,2708,29.700109000000005,-0.18148820326678441,
2018-11-12,neutral,1,1,2,0.9999999999999426,0.2708936516475804,2718,2708,26.27564399999998,-0.9768270944741565,
2018-11-13,bear,1,1,2,0.9999956911729304,0.590592569732872,2718,2708,16.233885000000026,-1.8685195852534555,
2018-11-14,neutral,1,1,2,0.9996129718296688,0.1494478569948683,2718,2708,12.188844000000005,-0.1871078988883556,
2018-11-15,neutral,2,2,1,0.9880260441675389,0.19678903813395635,2718,2708,12.567889000000012,-0.6836727192531109,
2018-11-16,neutral,2,2,0,0.988498544987094,0.23500402323294448,2718,2708,12.716016000000012,1.043671354552181,
2018-11-19,neutral,1,1,2,0.9822621066324623,0.13829767684400904,2718,2708,11.967504000000003,0.2600542084829084,
2018-11-20,bear,1,1,2,0.9999949127765377,0.5229482509558452,2718,2708,14.950340999999975,-1.6914477770065377,
2018-11-21,bear,2,2,0,0.9999668307266029,0.5656946318088747,2718,2708,24.491740999999962,-1.8506131549609877,
2018-11-23,neutral,1,1,2,0.9999420494237344,0.14191583052386703,2718,2708,23.188556,0.3407542026351572,
2018-11-26,neutral,2,2,0,0.9997516037947243,0.19502641315707459,2718,2708,19.981780999999998,-0.6678741227077133,
2018-11-27,neutral,1,1,2,0.9937112862128812,0.4146336978094453,2718,2708,13.702661000000006,1.6144349477682813,
2018-11-28,neutral,2,2,0,0.986381571993079,0.14243735131419494,2718,2708,12.337820000000011,0.3364485981308326,
2018-11-29,bear,2,2,1,0.9963799830314762,0.6753525071585564,2718,2708,14.633035999999995,2.3025335320417315,
2018-11-30,neutral,2,2,1,0.9989467315866989,0.14539966869629292,2718,2708,16.907840000000014,-0.21851555102336875,
2018-12-03,neutral,2,2,1,0.9997156960792177,0.16403185610590512,2718,2708,19.502861000000003,0.6095335425943349,
2018-12-04,neutral,1,1,2,0.9999889030807878,0.3155931971184719,2718,2708,26.970560000000013,1.3241429348812024,
2018-12-06,bear,1,1,2,0.9999877968449352,0.9306195504031912,2718,2708,26.86188500000002,-3.2402434658073798,
2018-12-07,neutral,1,1,2,0.9999298294214055,0.1420344595237187,2718,2708,22.84530100000003,-0.15171137835338577,
2018-12-10,bear,1,1,2,0.9999731200515871,0.7316600886618618,2718,2708,24.70405600000002,-2.32359916987844,
2018-12-11,neutral,1,1,2,0.9999484603121441,0.13795608908600066,2718,2708,23.55392400000003,0.18970292521910687,
2018-12-12,neutral,1,1,2,0.9999881828388397,0.13735448884559714,2718,2708,26.74228100000003,0.022721248153899448,
2018-12-13,neutral,1,1,2,0.9999947400831479,0.1540334814424126,2718,2708,28.682681000000038,0.5035399235225019,
2018-12-14,neutral,1,1,2,0.9999928814463012,0.13876130394503694,2718,2708,28.03337600000004,-0.03390341294356023,
2018-12-17,bear,2,2,1,0.9999980618019494,0.5701951514808336,2718,2708,31.441948999999966,-1.8464785017145786,
2018-12-18,bear,1,1,2,0.9999996679676767,0.6126713599629829,2718,2708,36.68285599999996,-1.9618382155334637,
2018-12-19,neutral,2,2,0,0.9999601956042051,0.14111689696045207,2718,2708,23.996419999999897,-0.109649122807018,
2018-12-20,neutral,2,2,1,0.9999968307662696,0.4395183070583951,2718,2708,30.28400899999992,-1.497569389995304,
2018-12-21,neutral,1,1,2,0.9999998140468099,0.4901634090296738,2718,2708,38.547223999999986,-1.6277959086205538,
2018-12-24,bear,0,0,2,0.9999999997351207,0.8149363491338188,2718,2708,65.60472100000005,-2.617631589594206,
2018-12-26,bear,1,1,2,0.9999999999992852,0.822476957888982,2718,2708,102.56208400000006,-2.6422933111757314,
2018-12-27,bear,1,1,2,0.9999999999969018,0.9998424376201298,2718,2708,94.95666900000005,5.052487838183837,
2018-12-28,neutral,1,1,2,0.9999999999125608,0.1822715201413192,2718,2708,75.84332000000009,0.7677309285888319,
2018-12-31,neutral,2,2,1,0.9999999792221819,0.13972801491161368,2718,2708,51.03083600000011,-0.1289958479461415,
2019-01-02,neutral,1,1,2,0.9999986023906623,0.20011143728752978,2718,2708,36.082541000000035,0.8758829465186629,
2019-01-03,neutral,1,1,0,0.9999912502056443,0.13512777864859016,2718,2708,30.440485000000013,0.10403329065301671,
2019-01-04,bear,2,2,1,0.9998915158600544,0.7544373578647622,2718,2708,23.64999599999998,-2.386281877048525,
2019-01-07,bear,2,2,1,0.9999310521401112,0.9536470573615922,2718,2708,24.958648999999973,3.349576184431423,
2019-01-08,neutral,2,2,1,0.9999924468492423,0.18540642318066128,2718,2708,31.193135999999974,0.7884623004081023,
2019-01-09,neutral,2,2,1,0.9999975927915281,0.2125973178217426,2718,2708,34.79120899999994,0.939539271955337,
2019-01-10,neutral,2,2,1,0.99897120119125,0.14920539893614793,2718,2708,18.507776,0.4673443159247753,
2019-01-11,neutral,2,2,1,0.9996948777325428,0.14218092184711423,2718,2708,21.334796000000004,0.3527541962243548,
2019-01-14,neutral,2,2,1,0.9998640981581192,0.1360408765649543,2718,2708,23.35860100000002,0.03862793572312374,
2019-01-15,neutral,2,2,1,0.9996999954062634,0.1862745077508859,2718,2708,21.331136000000004,-0.6100857209051049,
2019-01-16,neutral,1,1,2,0.9998036389171489,0.26161206386212765,2718,2708,22.38560900000002,1.146076146076164,
2019-01-17,neutral,2,2,0,0.9997848269815842,0.13841023905419045,2718,2708,22.145849000000037,0.24198194737852716,
