date,return_1d,volatility_10d,vol_threshold,decision
2018-06-19,-0.20567964493197893,1.2119289999999954,2.3237225,neutral
2018-06-20,-0.38328030083887843,1.026409000000007,2.3237225,neutral
2018-06-21,0.1705989110707903,1.2788039999999978,2.3237225,bull
2018-06-22,-0.6268797333043512,2.2394009999999946,2.3237225,neutral
2018-06-25,0.1823220536756126,2.6157959999999947,2.3273010000000003,neutral
2018-06-26,-1.3612870350149264,5.155956000000001,2.3375684999999917,bear
2018-06-27,0.22140221402214863,5.823539999999981,2.3454484999999856,neutral
2018-06-28,-0.8284241531664213,7.951875999999986,2.351972499999997,bear
2018-06-29,0.5717467978466544,6.82291599999999,2.373642499999997,neutral
2018-07-02,0.14396987707186917,5.8875010000000145,2.405828499999993,neutral
2018-07-03,0.21380123857270752,4.635421000000015,2.4376159999999856,neutral
2018-07-05,-0.35312293092034003,3.911381000000027,2.478749999999989,bear
2018-07-06,0.8157991878922246,2.4813810000000105,2.492812500000001,bull
2018-07-09,0.8458130423638835,3.1596450000000162,2.5600199999999935,neutral
2018-07-10,0.9004429598431346,5.780548999999985,2.654618499999997,neutral
2018-07-11,0.3598416696653473,9.294468999999957,2.698432999999998,neutral
2018-07-12,-0.7314449623520846,10.18446099999998,2.7204029999999944,bear
2018-07-13,0.9065953911724304,10.609309000000012,2.783400999999988,neutral
2018-07-16,0.07874861295055677,10.88074899999999,2.8553850000000036,neutral
2018-07-17,-0.08941664580278265,9.894204999999955,2.8913590000000124,bear
2018-07-18,0.40452495167181657,8.877363999999996,2.9122264999999947,neutral
2018-07-19,0.21036117944877347,5.3945159999999746,2.9380939999999938,neutral
2018-07-20,-0.3771436703906647,2.650228999999992,2.9122264999999947,neutral
2018-07-23,-0.11428571428571184,1.3262210000000079,2.8913590000000124,neutral
2018-07-24,0.18592677345537106,1.1505010000000007,2.8093650000000077,bull
2018-07-25,0.5032119914346984,1.460796000000003,2.8093650000000077,bull
2018-07-26,0.8522424629807099,1.8318810000000056,2.8093650000000077,bull
2018-07-27,-0.23590718636668284,2.326939999999996,2.8093650000000077,neutral
2018-07-30,-0.6776311145619959,2.137900999999991,2.8093650000000077,neutral
2018-07-31,-0.5223509345462395,1.9550839999999852,2.8093650000000077,neutral
2018-08-01,0.4929451687801377,1.9005599999999887,2.8093650000000077,bull
2018-08-02,-0.1670635908008284,1.912159999999988,2.8093650000000077,neutral
2018-08-03,0.5447553941465402,1.8335289999999866,2.8093650000000077,bull
2018-08-06,0.42848542795426053,1.8060890000000005,2.8093650000000077,bull
2018-08-07,0.36671368124117193,2.0964649999999905,2.8093650000000077,bull
2018-08-08,0.33024170882518195,2.9551759999999865,2.902216500000005,neutral
2018-08-09,-0.04201974928216421,3.5208209999999793,2.9380939999999938,bear
2018-08-10,-0.13662159321795922,3.957299999999981,2.954139999999993,bear
2018-08-13,-0.6700108745220361,3.669503999999988,3.036688499999981,bear
2018-08-14,-0.3743466591326466,2.686308999999975,3.036688499999981,neutral
2018-08-15,0.6380716058135252,2.2070039999999667,3.036688499999981,bull
2018-08-16,-0.7467418104966554,1.7650359999999856,3.036688499999981,neutral
2018-08-17,0.8091418837390977,1.5557849999999833,3.036688499999981,bull
2018-08-20,0.3520383017672323,1.6498089999999865,3.036688499999981,bull
2018-08-21,0.2139900371851588,1.860443999999994,2.954139999999993,bull
2018-08-22,0.23453635313472154,2.124619999999988,2.9380939999999938,bull
2018-08-23,-0.05936997974434556,2.340388999999999,2.9172265000000115,neutral
2018-08-24,-0.13278820281650608,2.4934610000000057,2.9172265000000115,neutral
2018-08-27,0.6018405122642395,3.1150760000000064,2.954139999999993,neutral
2018-08-28,0.7895377552085081,4.217924000000001,3.0351259999999964,neutral
2018-08-29,0.048312512940866595,5.425536000000008,3.1166384999999908,neutral
2018-08-30,0.5380794701986763,5.303315999999998,3.129240499999983,neutral
2018-08-31,-0.4048305201042976,4.916436000000002,3.1499625000000036,bear
2018-09-04,0.0034447123665142625,4.517960999999999,3.1787645000000033,neutral
2018-09-05,-0.17222968550859427,3.8605290000000068,3.2842899999999933,bear
2018-09-06,-0.26914185155792747,3.2200399999999916,3.295367999999994,neutral
2018-09-07,-0.30100681590144546,2.4461289999999956,3.295367999999994,neutral
2018-09-10,-0.19433647973348217,1.503300000000001,3.295367999999994,neutral
2018-09-11,0.17385257301808066,1.3127889999999909,3.295367999999994,bull
2018-09-12,0.32974661575841324,1.3124239999999934,3.295367999999994,bull
2018-09-13,0.024217263449227876,1.2829839999999928,3.295367999999994,bull
2018-09-14,0.5914499169894782,1.0370889999999808,3.295367999999994,bull
2018-09-17,0.01719217412234342,1.1913689999999764,3.295367999999994,bull
2018-09-18,-0.5294279427942865,1.0779759999999758,3.295367999999994,neutral
2018-09-19,0.542614225478693,1.3228359999999835,3.295367999999994,bull
2018-09-20,0.10656216699322892,1.6353489999999884,3.295367999999994,bull
2018-09-21,0.810383902204504,2.803900999999976,3.295367999999994,bull
2018-09-24,-0.5415900265685588,2.375875999999988,3.295367999999994,neutral
2018-09-25,-0.33220315764239433,1.7404839999999968,3.295367999999994,neutral
2018-09-26,-0.09277712871966938,1.4076240000000015,3.295367999999994,neutral
2018-09-27,-0.2992261392949285,1.1793200000000044,3.295367999999994,neutral
2018-09-28,0.2794259693666353,1.186964000000004,3.295367999999994,bull
2018-10-01,0.010320272455202985,1.1939400000000022,3.295367999999994,bull
2018-10-02,0.347413318657124,0.9097689999999933,3.295367999999994,bull
2018-10-03,-0.05827306070682339,0.9037239999999945,3.295367999999994,neutral
2018-10-04,0.054877212237626906,0.9168239999999969,3.295367999999994,bull
2018-10-05,-0.781571369806674,0.6245400000000095,3.295367999999994,neutral
2018-10-08,-0.559701492537315,1.3221810000000151,3.2089619999999908,neutral
